_id,CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
1838,681655,CR-0000091052,2,0,0,0,22-031-0569,False,False,0,1/31/2022 3:46:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
1839,689666,CR-0000095642,1,0,0,0,22-343-0330,True,False,510,12/9/2022 12:21:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Cloudy,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,tree,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
1840,688917,CR-0000094775,1,0,0,0,22-280-0573,False,False,0,10/7/2022 2:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
1841,694617,CR-0000098650,1,1,0,0,23-206-0392,False,False,160,7/25/2023 11:36:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
1842,694598,CR-0000098622,2,1,0,0,23-204-0577,False,False,0,7/23/2023 3:26:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,99186,PARROTT ST,TENTH ST,37.30674722,-121.8528731
1843,691293,CR-0000097538,0,0,0,0,23-043-0546,False,True,51,2/12/2023 5:00:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,70223,HANSON AV,STEVENS CREEK BL,37.32330529,-121.9521976
1844,690826,CR-0000096965,0,0,0,0,23-018-0408,False,False,202,1/18/2023 12:36:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,70223,HANSON AV,STEVENS CREEK BL,37.32330529,-121.9521976
1845,716055,CR-0000102012,1,1,0,0,23-310-0437,False,False,155,11/27/2023 12:18:00 PM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Daylight,Pedestrian At Fault,No Controls Present/Factor,Clear,Vehicle/Pedestrian,Non-Related,Pedestrian,South,North,West Of,PEDESTRIAN,False,False,70223,HANSON AV,STEVENS CREEK BL,37.32330529,-121.9521976
1846,722381,CR-0000103675,2,0,0,0,24-096-0214,False,False,0,4/5/2024 10:00:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,70223,HANSON AV,STEVENS CREEK BL,37.32330529,-121.9521976
1847,719617,CR-0000102775,0,0,0,0,23-078-4002,False,True,51,3/19/2023 10:45:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,False,14750,BAYLEAF CT,WHITETHORNE DR,37.3006108,-121.9332552
